Game,Date,TEAM,OPP,Win,Points,WL (H),WL HOME (H),WL LAST 5 (H),WL LAST 8 (H),WL LAST 10 (H),PD (H),PD HOME (H),PD LAST 5 (H),PD LAST 8 (H),PD LAST 10 (H),WL (A),WL AWAY (A),WL LAST 5 (A),WL LAST 8 (A),WL LAST 10 (A),PD (A),PD AWAY (A),PD LAST 5 (A),PD LAST 8 (A),PD LAST 10 (A),Prev WL (H),Prev WL (A),Prev WL HOME (H),Prev WL AWAY (A),AST,TRB,FG%,3P%
46,2011-01-24,27,28,0,-15,0.5555555555555556,0.7619047619047619,1.0,0.625,0.7,0.9333333333333333,6.095238095238095,8.4,2.125,3.0,0.21951219512195122,0.15789473684210525,0.2,0.125,0.2,-5.682926829268292,-8.947368421052632,-1.4,-5.0,-2.6,0.6097560975609756,0.3048780487804878,0.6341463414634146,0.17073170731707318,1.7945799457994553,-2.646070460704607,0.0015322493224931844,0.0068178861788619205
47,2011-01-27,27,2,0,-10,0.5434782608695652,0.7272727272727273,0.8,0.625,0.6,0.5869565217391305,5.136363636363637,4.0,1.125,1.2,0.7727272727272727,0.631578947368421,0.8,0.75,0.7,7.7272727272727275,6.631578947368421,9.2,8.625,7.8,0.6097560975609756,0.6097560975609756,0.6341463414634146,0.6341463414634146,-3.5108695652173907,2.3142292490118592,-0.06302371541501972,-0.04696541501976276
48,2011-02-01,27,29,1,13,0.5319148936170213,0.6956521739130435,0.6,0.625,0.5,0.3617021276595745,4.478260869565218,-0.2,1.625,-0.8,0.851063829787234,0.75,0.8,0.875,0.9,7.468085106382978,2.9,3.2,6.25,6.8,0.6097560975609756,0.6097560975609756,0.6341463414634146,0.5121951219512195,-2.0212765957446805,-2.0212765957446805,-0.03234042553191491,-0.05704255319148932
52,2011-02-07,27,4,1,6,0.5294117647058824,0.7083333333333334,0.4,0.5,0.6,0.0784313725490196,4.833333333333333,-4.6,-2.25,-0.3,0.6938775510204082,0.5,0.8,0.75,0.8,5.979591836734694,1.1363636363636365,9.2,7.875,7.8,0.6097560975609756,0.5,0.6341463414634146,0.4146341463414634,-0.8439375750300115,-3.893557422969188,-0.019468587434973983,-0.023515006002400862
56,2011-02-16,27,20,1,7,0.5636363636363636,0.72,1.0,0.75,0.6,0.6363636363636364,4.88,7.4,2.25,-0.7,0.5789473684210527,0.4482758620689655,0.2,0.25,0.2,2.017543859649123,-0.2413793103448276,-6.0,-4.875,-4.7,0.6097560975609756,0.45121951219512196,0.6341463414634146,0.3170731707317073,0.5722488038277511,-1.6385964912280713,-0.01094417862838909,-0.016798724082934535
57,2011-02-23,27,14,0,-5,0.5714285714285714,0.7307692307692307,1.0,0.75,0.7,0.75,4.961538461538462,7.6,1.5,1.5,0.6724137931034483,0.6333333333333333,0.4,0.625,0.6,6.172413793103448,3.1333333333333333,0.4,2.875,3.0,0.6097560975609756,0.6951219512195121,0.6341463414634146,0.5609756097560976,-0.766625615763548,-4.305418719211822,-0.021566502463054082,-0.010801724137930901
58,2011-02-25,27,8,1,1,0.5614035087719298,0.7037037037037037,0.8,0.75,0.7,0.6491228070175439,4.592592592592593,5.4,3.25,2.0,0.576271186440678,0.35714285714285715,0.6,0.5,0.5,2.7966101694915255,-2.7857142857142856,1.4,0.125,0.7,0.6097560975609756,0.6463414634146342,0.6341463414634146,0.4634146341463415,-0.07523044900386466,-1.4368123699078197,-0.024994647636039036,-0.04034522747546815
59,2011-02-27,27,0,0,-7,0.5689655172413793,0.7142857142857143,0.8,0.875,0.7,0.6551724137931034,4.464285714285714,4.4,5.0,0.8,0.603448275862069,0.5625,0.4,0.375,0.5,0.9827586206896551,1.1875,-2.6,-5.25,-2.8,0.6097560975609756,0.6463414634146342,0.6341463414634146,0.4634146341463415,-1.3965517241379324,-0.3793103448275872,-0.016120689655172493,-0.012637931034482852
60,2011-03-01,27,11,0,-16,0.559322033898305,0.6896551724137931,0.6,0.75,0.7,0.5254237288135594,4.068965517241379,2.0,3.375,2.0,0.4918032786885246,0.4375,0.8,0.625,0.7,0.7049180327868853,-2.03125,4.2,4.0,3.9,0.6097560975609756,0.5121951219512195,0.6341463414634146,0.4634146341463415,-2.3234231731036417,-2.796332314531817,-0.006673798277299081,-0.01990914142817446
62,2011-03-05,27,3,1,24,0.5573770491803278,0.6666666666666666,0.4,0.625,0.7,0.32786885245901637,3.4,-4.4,0.5,1.6,0.4262295081967213,0.3225806451612903,0.4,0.5,0.4,-3.1639344262295084,-6.838709677419355,-7.4,-3.375,-3.3,0.6097560975609756,0.5365853658536586,0.6341463414634146,0.3170731707317073,0.4262295081967231,-1.983606557377044,1.1102230246251565e-16,0.021770491803278613
67,2011-03-15,27,7,1,3,0.5606060606060606,0.6774193548387096,0.6,0.5,0.5,0.6515151515151515,4.064516129032258,4.6,0.625,0.1,0.7121212121212122,0.71875,0.4,0.625,0.7,3.9242424242424243,2.90625,2.8,6.0,7.3,0.6097560975609756,0.6707317073170732,0.6341463414634146,0.6585365853658537,-2.530303030303031,-1.9545454545454533,-0.02921212121212141,-0.024439393939393983
68,2011-03-17,27,6,1,41,0.5671641791044776,0.6875,0.6,0.625,0.6,0.6865671641791045,4.03125,0.4,1.875,0.9,0.19696969696969696,0.15151515151515152,0.2,0.25,0.3,-10.121212121212121,-13.393939393939394,-12.2,-8.875,-7.0,0.6097560975609756,0.7439024390243902,0.6341463414634146,0.6341463414634146,-0.18294889190411467,-1.1236996834011777,0.014949344188150138,-0.0033419267299864552
69,2011-03-19,27,25,1,9,0.5735294117647058,0.696969696969697,0.6,0.75,0.6,1.2794117647058822,5.151515151515151,7.8,9.0,4.9,0.5217391304347826,0.3888888888888889,0.6,0.625,0.6,1.8985507246376812,-1.5,0.4,1.875,1.8,0.6097560975609756,0.32926829268292684,0.6341463414634146,0.36585365853658536,-1.432011935208866,-3.1992753623188435,-0.015163043478260863,-0.0038776641091220476
71,2011-03-22,27,32,1,35,0.5714285714285714,0.7058823529411765,0.6,0.625,0.7,1.3142857142857143,5.264705882352941,8.0,6.0,7.7,0.25,0.03125,0.2,0.25,0.2,-7.720588235294118,-12.9375,-14.0,-11.625,-12.5,0.6097560975609756,0.3170731707317073,0.6341463414634146,0.2682926829268293,1.5205882352941167,-1.4642857142857153,0.006093697478991633,0.025242857142857122
72,2011-03-25,27,29,1,2,0.5774647887323944,0.7142857142857143,0.8,0.625,0.7,1.7887323943661972,6.114285714285714,16.8,9.875,10.7,0.8028169014084507,0.6857142857142857,0.6,0.75,0.7,6.295774647887324,2.3142857142857145,-0.2,2.375,3.3,0.6097560975609756,0.6097560975609756,0.6341463414634146,0.5121951219512195,-1.3521126760563362,-2.633802816901408,-0.026042253521126713,-0.053774647887323834
