Rk,G,Date,Home,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,V25,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team
46,46,2017-01-27,,ORL,W,128,98,50,89,.562,16,34,.471,12,15,.800,7,47,39,8,5,10,17,,38,87,.437,9,25,.360,13,18,.722,7,38,29,7,2,11,15,BOS
47,47,2017-01-28,@,MIL,W,112,108,37,89,.416,14,41,.341,24,30,.800,9,44,26,6,7,13,23,,37,87,.425,9,21,.429,25,32,.781,9,47,23,6,6,15,25,BOS
48,48,2017-01-30,,DET,W,113,109,36,82,.439,13,32,.406,28,33,.848,6,44,23,6,5,9,18,,43,97,.443,3,27,.111,20,29,.690,12,51,18,6,7,7,23,BOS
49,49,2017-02-01,,TOR,W,109,104,36,87,.414,12,36,.333,25,30,.833,12,39,24,6,2,9,21,,41,78,.526,8,31,.258,14,25,.560,8,41,17,6,5,15,29,BOS
50,50,2017-02-03,,LAL,W,113,107,39,82,.476,13,35,.371,22,28,.786,7,47,28,8,1,16,19,,37,94,.394,14,38,.368,19,26,.731,15,52,24,9,3,12,23,BOS
51,51,2017-02-05,,LAC,W,107,102,37,88,.420,16,52,.308,17,20,.850,9,45,24,9,3,11,21,,35,84,.417,10,29,.345,22,28,.786,8,46,22,4,0,13,13,BOS
52,52,2017-02-08,@,SAC,L,92,108,29,73,.397,10,32,.313,24,27,.889,7,39,18,8,2,17,19,,42,84,.500,10,25,.400,14,15,.933,4,40,24,11,1,14,18,BOS
53,53,2017-02-09,@,POR,W,120,111,44,91,.484,10,30,.333,22,27,.815,14,43,23,8,1,8,21,,39,77,.506,9,26,.346,24,31,.774,10,41,23,4,6,15,23,BOS
54,54,2017-02-11,@,UTA,W,112,104,42,71,.592,13,30,.433,15,23,.652,3,37,20,6,4,16,24,,35,86,.407,8,31,.258,26,30,.867,13,39,16,9,2,9,19,BOS
55,55,2017-02-13,@,DAL,W,111,98,40,81,.494,16,34,.471,15,18,.833,7,41,28,5,3,12,25,,35,77,.455,9,27,.333,19,25,.760,4,37,21,7,2,12,16,BOS
56,56,2017-02-15,,PHI,W,116,108,38,80,.475,13,28,.464,27,36,.750,6,39,21,13,4,22,18,,44,93,.473,8,31,.258,12,18,.667,12,47,23,16,5,22,23,BOS
57,57,2017-02-16,@,CHI,L,103,104,36,77,.468,14,37,.378,17,20,.850,4,31,24,2,4,7,18,,38,90,.422,6,25,.240,22,22,1.000,15,51,23,2,6,7,13,BOS
58,58,2017-02-24,@,TOR,L,97,107,33,78,.423,12,38,.316,19,22,.864,7,36,19,4,3,11,21,,40,81,.494,5,15,.333,22,29,.759,10,41,15,7,4,9,21,BOS
59,59,2017-02-26,@,DET,W,104,98,34,85,.400,12,35,.343,24,30,.800,9,52,22,9,1,14,26,,35,81,.432,12,33,.364,16,35,.457,11,45,22,8,4,17,24,BOS
60,60,2017-02-27,,ATL,L,98,114,34,87,.391,10,34,.294,20,25,.800,9,40,21,9,7,18,20,,46,95,.484,6,25,.240,16,20,.800,13,55,22,10,10,14,19,BOS
61,61,2017-03-01,,CLE,W,103,99,36,78,.462,13,31,.419,18,23,.783,8,47,28,4,6,12,21,,37,91,.407,10,33,.303,15,22,.682,12,41,20,3,5,10,21,BOS
62,62,2017-03-03,@,LAL,W,115,95,43,84,.512,10,33,.303,19,25,.760,6,46,30,7,2,18,17,,37,87,.425,6,24,.250,15,20,.750,6,34,23,11,7,14,21,BOS
63,63,2017-03-05,@,PHO,L,106,109,32,85,.376,13,37,.351,29,40,.725,14,54,19,6,6,12,28,,42,94,.447,4,20,.200,21,26,.808,10,50,16,7,10,11,29,BOS
64,64,2017-03-06,@,LAC,L,102,116,34,83,.410,10,35,.286,24,29,.828,7,37,22,9,2,11,31,,39,73,.534,9,20,.450,29,47,.617,8,47,23,7,5,13,24,BOS
65,65,2017-03-08,@,GSW,W,99,86,37,84,.440,10,29,.345,15,19,.789,9,45,28,12,1,12,10,,37,84,.440,6,30,.200,6,9,.667,12,46,23,8,12,17,20,BOS
66,66,2017-03-10,@,DEN,L,99,119,34,81,.420,12,33,.364,19,23,.826,9,34,19,11,2,18,23,,45,85,.529,12,31,.387,17,22,.773,11,50,24,11,4,18,18,BOS
